TIME,OPEN(T),HIGH(t),LOW(t),CLOSE(t)
10:01:24,86960,86960,86940,86940
10:01:25,86940,86960,86940,86950
10:01:26,86940,86960,86940,86940
10:01:27,86940,86940,86930,86930
10:01:28,86940,86940,86920,86940
10:01:29,86940,86960,86930,86950
10:01:30,86940,86950,86940,86950
10:01:31,86940,86960,86930,86930
10:01:32,86940,86950,86930,86930
10:01:33,86930,86950,86930,86930
10:01:34,86940,86950,86920,86950
10:01:35,86940,86950,86930,86950
10:01:36,86950,86950,86920,86930
10:01:37,86930,86960,86920,86940
10:01:38,86920,86940,86920,86940
10:01:39,86940,86940,86930,86930
10:01:40,86930,86950,86910,86940
10:01:41,86940,86950,86930,86950
10:01:42,86930,86940,86930,86930
10:01:43,86930,86940,86930,86940
10:01:44,86940,86940,86930,86940
10:01:45,86930,86940,86910,86920
10:01:46,86930,86940,86920,86920
10:01:47,86920,86950,86920,86940
10:01:48,86940,86950,86940,86960
10:01:49,86960,86970,86950,86950
10:01:50,86950,86960,86920,86950
10:01:51,86950,86950,86950,86940
10:01:52,86940,86960,86930,86940
10:01:53,86940,86950,86940,86950
10:01:54,86950,86950,86930,86950
10:01:55,86940,86950,86940,86950
10:01:56,86940,86940,86940,86930
10:01:57,86940,86940,86930,86940
10:01:58,86930,86930,86930,86950
10:01:59,86950,86950,86930,86920
10:02:00,86940,86940,86910,86910
10:02:01,86910,86920,86890,86890
10:02:02,86890,86900,86870,86870
10:02:03,86870,86880,86850,86860
10:02:04,86880,86890,86860,86890
10:02:05,86880,86890,86880,86890
10:02:06,86890,86890,86860,86880
10:02:07,86860,86890,86860,86890
10:02:08,86890,86900,86860,86870
10:02:09,86880,86880,86860,86860
10:02:10,86860,86870,86860,86870
10:02:11,86860,86870,86850,86850
10:02:12,86840,86860,86840,86860
10:02:13,86860,86870,86860,86870
10:02:14,86860,86870,86840,86850
10:02:15,86840,86870,86840,86850
10:02:16,86860,86870,86850,86860
10:02:17,86850,86870,86850,86840
10:02:18,86860,86860,86850,86850
10:02:19,86850,86870,86850,86850
10:02:20,86850,86860,86840,86840
10:02:21,86840,86850,86830,86840
10:02:22,86840,86850,86820,86820
10:02:23,86840,86840,86800,86810
10:02:24,86800,86810,86800,86810
10:02:25,86800,86810,86790,86810
10:02:26,86800,86810,86790,86810
10:02:27,86810,86810,86790,86790
10:02:28,86790,86810,86790,86790
10:02:29,86790,86790,86780,86780
10:02:30,86780,86790,86780,86790
10:02:31,86780,86790,86770,86780
10:02:32,86770,86790,86770,86770
10:02:33,86770,86770,86770,86790
10:02:34,86790,86790,86770,86790
10:02:35,86780,86780,86780,86780
10:02:36,86780,86780,86780,86780
10:02:37,86780,86780,86760,86770
10:02:38,86780,86780,86770,86780
10:02:39,86780,86780,86770,86770
10:02:40,86790,86790,86770,86780
10:02:41,86780,86780,86770,86780
10:02:42,86770,86780,86770,86770
10:02:43,86780,86780,86770,86770
10:02:44,86780,86790,86770,86780
10:02:45,86780,86780,86760,86780
10:02:46,86780,86790,86770,86770
10:02:47,86790,86800,86780,86800
10:02:48,86800,86800,86770,86780
10:02:49,86790,86800,86780,86800
10:02:50,86800,86800,86800,86790
10:02:51,86790,86790,86780,86780
10:02:52,86780,86780,86770,86780
10:02:53,86780,86780,86760,86770
10:02:54,86760,86770,86760,86760
10:02:55,86760,86780,86760,86780
10:02:56,86760,86780,86760,86780
10:02:57,86780,86790,86770,86780
10:02:58,86790,86800,86790,86790
10:02:59,86800,86800,86780,86800
10:03:00,86790,86800,86750,86750
10:03:01,86750,86760,86730,86730
10:03:02,86750,86750,86710,86730
10:03:03,86710,86730,86700,86700
10:03:04,86720,86730,86700,86730
10:03:05,86730,86740,86730,86740
10:03:06,86740,86750,86730,86750
10:03:07,86740,86740,86720,86740
10:03:08,86730,86740,86720,86740
10:03:09,86740,86740,86720,86740
10:03:10,86740,86750,86740,86750
10:03:11,86750,86750,86740,86750
10:03:12,86750,86760,86740,86760
10:03:13,86760,86770,86750,86770
10:03:14,86770,86770,86750,86760
10:03:15,86770,86770,86740,86750
10:03:16,86750,86770,86750,86770
10:03:17,86760,86780,86740,86760
10:03:18,86760,86770,86760,86770
10:03:19,86760,86770,86760,86770
10:03:20,86770,86780,86770,86780
10:03:21,86780,86780,86780,86780
10:03:22,86770,86800,86770,86790
10:03:23,86780,86800,86770,86800
10:03:24,86800,86800,86800,86800
10:03:25,86800,86810,86790,86800
10:03:26,86800,86820,86800,86820
10:03:27,86820,86820,86790,86810
10:03:28,86810,86810,86800,86810
10:03:29,86810,86820,86790,86800
10:03:30,86810,86810,86790,86800
10:03:31,86810,86820,86800,86810
10:03:32,86810,86820,86810,86820
10:03:33,86820,86830,86820,86830
10:03:34,86830,86850,86820,86830
10:03:35,86830,86850,86830,86840
10:03:36,86850,86850,86840,86850
10:03:37,86850,86850,86840,86830
10:03:38,86840,86840,86840,86840
10:03:39,86850,86860,86840,86860
10:03:40,86860,86860,86840,86850
10:03:41,86850,86850,86840,86850
10:03:42,86850,86850,86850,86850
10:03:43,86850,86860,86850,86850
10:03:44,86860,86860,86850,86860
10:03:45,86860,86880,86860,86870
10:03:46,86870,86880,86860,86880
10:03:47,86870,86880,86860,86870
10:03:48,86880,86880,86870,86870
10:03:49,86870,86880,86860,86870
10:03:50,86870,86880,86860,86860
10:03:51,86860,86870,86850,86870
10:03:52,86870,86870,86850,86860
10:03:53,86870,86870,86840,86850
10:03:54,86840,86850,86830,86850
10:03:55,86850,86850,86840,86850
10:03:56,86850,86850,86850,86850
10:03:57,86840,86840,86830,86850
10:03:58,86840,86850,86830,86830
10:03:59,86830,86840,86820,86840
10:04:00,86840,86840,86820,86830
10:04:01,86830,86840,86830,86830
10:04:02,86830,86830,86820,86830
10:04:03,86830,86830,86820,86830
10:04:04,86820,86830,86810,86830
10:04:05,86830,86830,86790,86810
10:04:06,86810,86810,86790,86790
10:04:07,86800,86810,86800,86810
10:04:08,86810,86850,86790,86820
10:04:09,86830,86830,86810,86830
10:04:10,86830,86840,86820,86830
10:04:11,86840,86840,86830,86820
10:04:12,86840,86840,86830,86840
10:04:13,86820,86840,86820,86840
10:04:14,86840,86840,86820,86840
10:04:15,86840,86840,86840,86840
10:04:16,86840,86840,86830,86830
10:04:17,86840,86840,86820,86840
10:04:18,86840,86840,86840,86840
10:04:19,86840,86850,86830,86850
10:04:20,86850,86850,86840,86840
10:04:21,86850,86850,86840,86850
10:04:22,86850,86850,86830,86860
10:04:23,86860,86860,86840,86860
10:04:24,86860,86870,86830,86850
10:04:25,86850,86860,86850,86860
10:04:26,86860,86860,86840,86840
10:04:27,86860,86860,86830,86840
10:04:28,86830,86840,86820,86840
10:04:29,86840,86840,86840,86830
10:04:30,86830,86840,86820,86840
10:04:31,86840,86840,86840,86840
10:04:32,86820,86840,86820,86820
10:04:33,86840,86840,86810,86820
10:04:34,86820,86830,86810,86830
10:04:35,86830,86830,86810,86810
10:04:36,86830,86830,86810,86830
10:04:37,86830,86830,86820,86830
10:04:38,86810,86830,86810,86830
10:04:39,86830,86830,86810,86830
10:04:40,86820,86820,86810,86820
10:04:41,86820,86830,86810,86830
10:04:42,86810,86810,86800,86800
10:04:43,86800,86810,86790,86810
10:04:44,86810,86810,86800,86800
10:04:45,86820,86820,86800,86820
10:04:46,86820,86820,86800,86820
10:04:47,86820,86820,86810,86810
10:04:48,86820,86830,86810,86830
10:04:49,86830,86830,86820,86830
10:04:50,86830,86830,86820,86830
10:04:51,86830,86840,86820,86830
10:04:52,86830,86840,86820,86830
10:04:53,86830,86830,86820,86830
10:04:54,86810,86830,86810,86810
10:04:55,86810,86820,86800,86820
10:04:56,86810,86840,86800,86820
10:04:57,86820,86830,86810,86820
10:04:58,86810,86830,86810,86830
10:04:59,86820,86840,86810,86830
10:05:00,86830,86830,86810,86810
10:05:01,86830,86830,86800,86800
10:05:02,86800,86800,86770,86780
10:05:03,86770,86780,86760,86760
10:05:04,86760,86770,86750,86750
10:05:05,86760,86770,86740,86750
10:05:06,86750,86760,86740,86750
10:05:07,86750,86770,86740,86770
10:05:08,86760,86780,86760,86780
10:05:09,86780,86790,86770,86780
10:05:10,86790,86800,86790,86790
10:05:11,86800,86800,86780,86800
10:05:12,86790,86790,86780,86780
10:05:13,86780,86800,86780,86780
10:05:14,86780,86810,86780,86810
10:05:15,86800,86810,86790,86800
10:05:16,86810,86820,86800,86820
10:05:17,86820,86830,86800,86820
10:05:18,86810,86830,86800,86800
10:05:19,86810,86820,86800,86820
10:05:20,86820,86820,86800,86820
10:05:21,86820,86820,86800,86820
10:05:22,86820,86820,86800,86800
10:05:23,86810,86820,86790,86810
10:05:24,86800,86820,86800,86820
10:05:25,86820,86820,86800,86820
10:05:26,86820,86820,86790,86820
10:05:27,86820,86820,86800,86810
10:05:28,86820,86830,86810,86830
10:05:29,86830,86830,86830,86830
10:05:30,86830,86840,86820,86840
10:05:31,86840,86860,86840,86860
10:05:32,86860,86870,86850,86850
10:05:33,86850,86860,86850,86860
10:05:34,86860,86870,86860,86870
10:05:35,86860,86870,86850,86870
10:05:36,86870,86870,86860,86870
10:05:37,86850,86870,86850,86860
10:05:38,86850,86860,86850,86860
10:05:39,86860,86870,86860,86860
10:05:40,86860,86870,86860,86870
10:05:41,86870,86870,86850,86860
10:05:42,86860,86870,86860,86860
10:05:43,86870,86870,86860,86870
10:05:44,86870,86870,86860,86870
10:05:45,86870,86880,86860,86880
10:05:46,86880,86880,86860,86860
10:05:47,86870,86870,86860,86870
10:05:48,86870,86870,86860,86870
10:05:49,86870,86870,86860,86860
10:05:50,86870,86870,86870,86870
10:05:51,86870,86870,86870,86870
10:05:52,86870,86880,86870,86870
10:05:53,86880,86880,86870,86870
10:05:54,86880,86880,86880,86880
10:05:55,86880,86880,86870,86880
10:05:56,86870,86890,86870,86870
10:05:57,86870,86870,86870,86870
10:05:58,86870,86890,86870,86890
10:05:59,86870,86890,86870,86890
10:06:00,86890,86890,86880,86880
10:06:01,86890,86890,86890,86890
10:06:02,86880,86880,86880,86880
10:06:03,86890,86890,86890,86890
10:06:04,86890,86890,86880,86870
10:06:05,86890,86890,86850,86850
10:06:06,86850,86850,86840,86850
10:06:07,86840,86840,86830,86830
10:06:08,86830,86830,86820,86820
10:06:09,86820,86820,86820,86830
10:06:10,86830,86840,86820,86830
10:06:11,86830,86830,86830,86840
10:06:12,86840,86840,86840,86840
10:06:13,86850,86850,86850,86850
10:06:14,86860,86860,86850,86850
10:06:16,86860,86860,86860,86860
10:06:17,86870,86870,86870,86870
10:06:18,86860,86860,86860,86860
10:06:19,86870,86880,86870,86880
10:06:21,86890,86890,86890,86890
10:06:22,86880,86880,86880,86880
10:06:23,86880,86880,86880,86880
10:06:24,86880,86880,86880,86890
10:06:25,86890,86890,86890,86880
10:06:26,86890,86890,86890,86890
10:06:27,86880,86880,86880,86880
10:06:28,86870,86870,86870,86870
10:06:29,86870,86870,86870,86880
10:06:30,86880,86880,86880,86880
10:06:31,86870,86870,86870,86870
10:06:32,86870,86870,86870,86870
10:06:33,86870,86870,86860,86860
10:06:34,86870,86880,86870,86870
10:06:35,86870,86880,86870,86880
10:06:36,86860,86860,86860,86860
10:06:37,86860,86860,86860,86860
10:06:38,86860,86860,86860,86860
10:06:39,86870,86870,86870,86870
10:06:40,86870,86870,86870,86870
10:06:41,86860,86860,86860,86870
10:06:42,86850,86870,86850,86860
10:06:43,86850,86860,86850,86860
10:06:44,86860,86860,86800,86820
10:06:45,86820,86820,86820,86800
10:06:46,86820,86820,86800,86800
10:06:47,86800,86800,86800,86810
10:06:48,86820,86830,86820,86820
10:06:49,86820,86830,86820,86830
10:06:50,86830,86830,86830,86830
10:06:51,86820,86830,86820,86810
10:06:52,86830,86840,86820,86830
10:06:53,86830,86830,86830,86820
10:06:56,86820,86820,86820,86820
10:06:58,86810,86810,86810,86810
10:06:59,86810,86810,86810,86810
10:07:00,86820,86840,86820,86840
10:07:01,86830,86840,86830,86840
10:07:02,86840,86840,86830,86840
10:07:03,86850,86850,86850,86850
10:07:04,86850,86850,86840,86840
10:07:05,86830,86880,86830,86850
10:07:06,86850,86850,86850,86850
10:07:07,86840,86850,86840,86850
10:07:08,86850,86850,86850,86850
10:07:09,86850,86850,86850,86850
10:07:10,86850,86860,86850,86840
10:07:11,86850,86850,86830,86830
10:07:12,86830,86830,86830,86850
10:07:13,86850,86850,86850,86850
10:07:15,86830,86830,86830,86830
10:07:16,86830,86830,86830,86840
10:07:18,86830,86830,86830,86830
10:07:19,86840,86840,86840,86850
10:07:21,86850,86850,86850,86850
10:07:23,86830,86830,86830,86830
10:07:24,86850,86850,86850,86850
10:07:25,86850,86850,86850,86850
10:07:26,86840,86840,86840,86840
10:07:27,86840,86840,86820,86820
10:07:28,86810,86810,86810,86810
10:07:29,86800,86800,86800,86800
10:07:30,86800,86810,86800,86810
10:07:31,86800,86820,86800,86820
10:07:32,86810,86830,86790,86820
10:07:33,86820,86830,86820,86820
10:07:34,86830,86830,86830,86840
10:07:35,86840,86840,86840,86830
10:07:37,86830,86830,86830,86830
10:07:38,86840,86840,86840,86830
10:07:39,86840,86850,86840,86850
10:07:40,86850,86880,86850,86860
10:07:41,86860,86860,86860,86860
10:07:42,86870,86870,86870,86870
10:07:43,86870,86870,86870,86860
10:07:44,86860,86860,86860,86860
10:07:45,86860,86860,86860,86860
10:07:46,86860,86860,86850,86860
10:07:47,86860,86860,86860,86860
10:07:48,86850,86850,86840,86840
10:07:49,86850,86850,86850,86850
10:07:50,86840,86840,86840,86840
10:07:51,86840,86840,86830,86830
10:07:52,86830,86830,86830,86830
10:07:53,86830,86830,86820,86820
10:07:54,86820,86820,86820,86820
10:07:55,86840,86860,86840,86840
10:07:56,86840,86840,86840,86840
10:07:57,86830,86830,86830,86830
10:07:58,86830,86830,86820,86820
10:08:00,86810,86810,86810,86810
10:08:01,86820,86820,86820,86820
10:08:02,86820,86820,86820,86820
10:08:03,86810,86810,86800,86800
10:08:04,86810,86810,86810,86790
10:08:05,86800,86820,86800,86800
10:08:06,86810,86810,86800,86800
10:08:07,86800,86800,86800,86800
10:08:08,86810,86820,86800,86810
10:08:09,86820,86820,86820,86810
10:08:10,86810,86860,86810,86840
10:08:11,86840,86840,86840,86840
10:08:12,86840,86840,86840,86840
10:08:13,86840,86840,86840,86840
10:08:14,86840,86840,86840,86840
10:08:15,86830,86830,86830,86830
10:08:16,86840,86840,86840,86840
10:08:17,86830,86830,86830,86830
10:08:18,86830,86830,86830,86830
10:08:20,86820,86820,86800,86800
10:08:21,86790,86790,86780,86780
10:08:22,86770,86780,86760,86760
10:08:23,86760,86760,86750,86750
10:08:24,86750,86750,86740,86740
10:08:25,86740,86810,86740,86770
10:08:26,86780,86780,86780,86780
